№ п/п;Имя параметра;Описание параметра;Система;CAN_ID;Смещение;Длина;UNO1;№ порта UNO1;UNO3;№ порта UNO3;Протокол;Тип ;StandID;BitCount
285;BI24_4SS1_DT9_dT;Сработка 4СС1-ДТ9 изменение температуры в МО 10 гр.Ц. в мин.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;28;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
286;BI24_4SS1_DK3_T;Сработка 4СС1-ДК3 температура в МО 70 гр.Ц.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;29;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
287;BI24_4SS1_DK3_dT;Сработка 4СС1-ДК3 изменение температуры в МО 10 гр.Ц. в мин.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;30;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
288;BI24_4SS1_DK3_f;Сработка 4СС1-ДК3 дым в МО 15%;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;31;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
289;BI24_4SS1_DK4_T;Сработка 4СС1-ДК4 температура в МО 70 гр.Ц.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;32;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
290;BI24_4SS1_DK4_dT;Сработка 4СС1-ДК4 изменение температуры в МО 10 гр.Ц. в мин.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;33;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
291;BI24_4SS1_DK4_f;Сработка 4СС1-ДК4 дым в МО 15%;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;34;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
292;BI24_4SS1_DK5_T;Сработка 4СС1-ДК5 температура в МО 70 гр.Ц.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;35;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
293;BI24_4SS1_DK5_dT;Сработка 4СС1-ДК5 изменение температуры в МО 10 гр.Ц. в мин.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;36;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
294;BI24_4SS1_DK5_f;Сработка 4СС1-ДК5 дым в МО 15%;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;37;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
295;BI24_4SS1_DK6_T;Сработка 4СС1-ДК6 температура в МО 70 гр.Ц.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;38;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
296;BI24_4SS1_DK6_dT;Сработка 4СС1-ДК6 изменение температуры в МО 10 гр.Ц. в мин.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;39;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
297;BI24_4SS1_DK6_f;Сработка 4СС1-ДК6 дым в МО 15%;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;40;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
298;BI24_4SS1_DK7_T;Сработка 4СС1-ДК7 температура в МО 70 гр.Ц.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;41;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
299;BI24_4SS1_DK7_dT;Сработка 4СС1-ДК7 изменение температуры в МО 10 гр.Ц. в мин.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;42;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
300;BI24_4SS1_DK7_f;Сработка 4СС1-ДК7 дым в МО 15%;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;43;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
301;BI24_4SS1_DK1_f1;Сработка 4СС1-ДК1 дым в МО меньше или равно 2%;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;44;1;ДА;3;ДА;0;Пожарная автоматика;Д2;;
302;BI24_4SS1_DK1_f2;Сработка 4СС1-ДК1 дым в МО больше 4%;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;45;1;ДА;3;ДА;0;Пожарная автоматика;Д4;;
303;BI24_4SS1_DK8_f1;Сработка 4СС1-ДК8 дым в МО меньше или равно 2%;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;46;1;ДА;3;ДА;0;Пожарная автоматика;Д2;;
304;BI24_4SS1_DK8_f2;Сработка 4СС1-ДК8 дым в МО больше 4%;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;47;1;ДА;3;ДА;0;Пожарная автоматика;Д4;;
305;BI24_4SS1_DK2_V;Сработка 4СС1-ДК2 объем в МО 20 мг. куб. ;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;48;1;ДА;3;ДА;0;Пожарная автоматика;О20;;
306;BI24_4SS1_DK2_T;Сработка 4СС1-ДК2 температура в МО 70 гр.Ц.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;49;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
307;BI24_4SS1_DK2_dT;Сработка 4СС1-ДК2 изменение температуры в МО 10 гр.Ц. в мин.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;50;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
308;BI24_4SS1_DK2_f;Сработка 4СС1-ДК2 дым в МО 15%;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;51;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
309;BI24_4SS1_DK9_V;Сработка 4СС1-ДК9 объем в МО 20 мг. куб. ;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;52;1;ДА;3;ДА;0;Пожарная автоматика;О20;;
310;BI24_4SS1_DK9_T;Сработка 4СС1-ДК9 температура в МО 70 гр.Ц.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;53;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
311;BI24_4SS1_DK9_dT;Сработка 4СС1-ДК9 изменение температуры в МО 10 гр.Ц. в мин.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;54;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
312;BI24_4SS1_DK9_f;Сработка 4СС1-ДК9 дым в МО 15%;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;55;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
313;BI24_4SS1_DP1;Сработка 4СС1-ДП1 в МО;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;56;1;ДА;3;ДА;0;Пожарная автоматика;РИ;;
314;BI24_4SS1_DP2;Сработка 4СС1-ДП2 в МО;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;57;1;ДА;3;ДА;0;Пожарная автоматика;РИ;;
315;BI24_4SS1_DP3;Сработка 4СС1-ДП3 в МО;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;58;1;ДА;3;ДА;0;Пожарная автоматика;РИ;;
316;BI24_4SS1_DP4;Сработка 4СС1-ДП4 в МО;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;59;1;ДА;3;ДА;0;Пожарная автоматика;РИ;;
317;BI24_4SS1_R1;Сработка 4СС1-Р1 в МО;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;60;1;ДА;3;ДА;0;Пожарная автоматика;РИ;;
318;BI24_4SS1_R2;Сработка 4СС1-Р2 в МО;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;61;1;ДА;3;ДА;0;Пожарная автоматика;РИ;;
319;BI24_4SS1_DF2_f;Сработка 4СС1-ДФ2 дым в Коридоре №3 15%;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;62;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
320;BI24_4SS1_DF3_f;Сработка 4СС1-ДФ3 дым в Коридоре №3 15%;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;504;63;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
321;BI24_4SS1_R4;Сработка 4СС1-Р4 в Коридоре №3 ;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;0;1;ДА;3;ДА;0;Пожарная автоматика;РИ;;
322;BI24_4SS1_R5;Сработка 4СС1-Р5 в Коридоре №3 ;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;1;1;ДА;3;ДА;0;Пожарная автоматика;РИ;;
323;BI24_4SS1_DT11_T1;Сработка 4СС1-ДТ11 температура в Камбузе 30 гр.Ц.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;2;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
324;BI24_4SS1_DT11_T2;Сработка 4СС1-ДТ11 температура в Камбузе 70 гр.Ц.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;3;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
325;BI24_4SS1_DT11_dT;Сработка 4СС1-ДТ11 изменение температуры в Камбузе 10 гр.Ц. в мин.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;4;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
326;BI24_4SS1_VTE1_T;Сработка 4СС1-ВТЭ1 температура в Камбузе 120 гр.Ц.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;5;1;ДА;3;ДА;0;Пожарная автоматика;ПТ120;;
327;BI24_4SS1_DF1_f;Сработка 4СС1-ДФ1 дым в Тамбуре №10 15%;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;6;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
328;BI24_4SS1_R3;Сработка 4СС1-Р3 в Тамбуре №10;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;7;1;ДА;3;ДА;0;Пожарная автоматика;РИ;;
329;BI24_4SS1_DK10_T;Сработка 4СС1-ДК10 температура в Пом. изделия КДС-703 70 гр.Ц.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;8;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
330;BI24_4SS1_DK10_dT;Сработка 4СС1-ДК10 изменение температуры в Пом. изделия КДС-703 10 гр.Ц. в мин.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;9;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
331;BI24_4SS1_DK10_f;Сработка 4СС1-ДК10 дым в Пом. изделия КДС-703 15%;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;10;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
332;BI24_4SS1_DT15_f1;Сработка 4СС1-ДТ15 влажность в  Пом. изделия КДС-703 98%;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;11;1;ДА;3;ДА;0;Пожарная автоматика;В98;;
333;BI24_4SS1_DT15_f2;Сработка 4СС1-ДТ15 влажность в  Пом. изделия КДС-703 80%;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;12;1;ДА;3;ДА;0;Пожарная автоматика;В80;;
334;BI24_4SS1_DT15_T1;Сработка 4СС1-ДТ15 температура в  Пом. изделия КДС-703 30 гр.Ц.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;13;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
335;BI24_4SS1_DT15_T2;Сработка 4СС1-ДТ15 температура в  Пом. изделия КДС-703 70 гр.Ц.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;14;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
336;BI24_4SS1_DT10_T1;Сработка 4СС1-ДТ10 температура в  Расх. клад. камбуза 30 гр.Ц.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;15;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
337;BI24_4SS1_DT10_T2;Сработка 4СС1-ДТ10 температура в  Расх. клад. камбуза 70 гр.Ц.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;16;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
338;BI24_4SS1_DT10_dT;Сработка 4СС1-ДТ10 изменение температуры в  Расх. клад. камбуза 10 гр.Ц. в мин.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;17;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
339;BI24_4SS1_DT16_f1;Сработка 4СС1-ДТ16 влажность в  Пом. ГРЩ №1 98%;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;18;1;ДА;3;ДА;0;Пожарная автоматика;В98;;
340;BI24_4SS1_DT16_f2;Сработка 4СС1-ДТ16 влажность в  Пом. ГРЩ №1 80%;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;19;1;ДА;3;ДА;0;Пожарная автоматика;В80;;
341;BI24_4SS1_DT16_T1;Сработка 4СС1-ДТ16 температура в  Пом. ГРЩ №1 30 гр.Ц.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;20;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
342;BI24_4SS1_DT16_T2;Сработка 4СС1-ДТ16 температура в  Пом. ГРЩ №1 70 гр.Ц.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;21;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
343;BI24_4SS1_DT17_f1;Сработка 4СС1-ДТ17 влажность в  Пом. ГРЩ №1 98%;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;22;1;ДА;3;ДА;0;Пожарная автоматика;В98;;
344;BI24_4SS1_DT17_f2;Сработка 4СС1-ДТ17 влажность в  Пом. ГРЩ №1 80%;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;23;1;ДА;3;ДА;0;Пожарная автоматика;В80;;
345;BI24_4SS1_DT17_T1;Сработка 4СС1-ДТ17 температура в  Пом. ГРЩ №1 30 гр.Ц.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;24;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
346;BI24_4SS1_DT17_T2;Сработка 4СС1-ДТ17 температура в  Пом. ГРЩ №1 70 гр.Ц.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;25;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
347;BI24_4SS1_DK12_V;Сработка 4СС1-ДК12 объем в Пом. ГРЩ №1 20 мг. куб. ;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;26;1;ДА;3;ДА;0;Пожарная автоматика;О20;;
348;BI24_4SS1_DK12_T;Сработка 4СС1-ДК12 температура в Пом. ГРЩ №1 70 гр.Ц.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;27;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
349;BI24_4SS1_DK12_dT;Сработка 4СС1-ДК12 изменение температуры в Пом. ГРЩ №1 10 гр.Ц. в мин.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;28;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
350;BI24_4SS1_DK12_f;Сработка 4СС1-ДК12 дым в Пом. ГРЩ №1 15%;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;29;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
351;BI24_4SS1_DK14_f1;Сработка 4СС1-ДК14 дым в Пом. ГРЩ №1 меньше или равно 2%;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;30;1;ДА;3;ДА;0;Пожарная автоматика;Д2;;
352;BI24_4SS1_DK14_f2;Сработка 4СС1-ДК14 дым в Пом. ГРЩ №1 больше 4%;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;31;1;ДА;3;ДА;0;Пожарная автоматика;Д4;;
353;BI24_4SS1_DP5;Сработка 4СС1-ДП5 в Пом. ГРЩ №1;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;32;1;ДА;3;ДА;0;Пожарная автоматика;РИ;;
354;BI24_4SS1_DP6;Сработка 4СС1-ДП6 в Пом. ГРЩ №1;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;33;1;ДА;3;ДА;0;Пожарная автоматика;РИ;;
355;BI24_4SS1_DK11_T;Сработка 4СС1-ДК11 температура в КПЭЖ 70 гр.Ц.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;34;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
356;BI24_4SS1_DK11_dT;Сработка 4СС1-ДК11 изменение  температуры в КПЭЖ 10 гр.Ц. в мин.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;35;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
357;BI24_4SS1_DK11_f;Сработка 4СС1-ДК11 дым в КПЭЖ 15%;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;36;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
358;BI24_4SS1_DT12_T1;Сработка 4СС1-ДТ12 температура в КПЭЖ 30 гр.Ц.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;37;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
359;BI24_4SS1_DT12_T2;Сработка 4СС1-ДТ12 температура в КПЭЖ 70 гр.Ц.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;38;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
360;BI24_4SS1_DT12_dT;Сработка 4СС1-ДТ12 изменение  температуры в КПЭЖ 10 гр.Ц. в мин.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;39;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
361;BI24_4SS1_DF4_f;Сработка 4СС1-ДФ4 дым в Тамбуре №11 15%;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;40;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
362;BI24_4SS1_R6;Сработка 4СС1-Р6 в Тамбуре №11;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;41;1;ДА;3;ДА;0;Пожарная автоматика;РИ;;
363;BI24_4SS1_DK13_T;Сработка 4СС1-ДК13 температура в Кладовой ЗИП №2 70 гр.Ц.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;42;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
364;BI24_4SS1_DK13_dT;Сработка 4СС1-ДК13 изменение температуры в Кладовой ЗИП №2 10 гр.Ц. в мин.;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;43;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
365;BI24_4SS1_DK13_f;Сработка 4СС1-ДК13 дым в Кладовой ЗИП №2 15%;2024. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;505;44;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
366;BI25_5SS1_VD2;Сработка 5СС1-ВД2 в Помещении ППР;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;505;45;1;ДА;3;ДА;0;Пожарная автоматика;Двери;;
367;BI25_5SS1_DT1_T1;Сработка 5СС1-ДТ1 температура в Помещении ППР 30 гр.Ц.;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;505;46;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
368;BI25_5SS1_DT1_T2;Сработка 5СС1-ДТ1 температура в Помещении ППР 70 гр.Ц.;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;505;47;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
369;BI25_5SS1_DT1_dT;Сработка 5СС1-ДТ1 изменение температуры в Помещении ППР 10 гр.Ц. в мин.;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;505;48;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
370;BI25_5SS1_DT4_T1;Сработка 5СС1-ДТ4 температура в Пом. обор. сточ. сист. 30 гр.Ц.;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;505;49;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
371;BI25_5SS1_DT4_T2;Сработка 5СС1-ДТ4 температура в Пом. обор. сточ. сист. 70 гр.Ц.;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;505;50;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
372;BI25_5SS1_DT4_dT;Сработка 5СС1-ДТ4 изменение температуры в Пом. обор. сточ. сист. 10 гр.Ц. в мин.;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;505;51;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
373;BI25_5SS1_VD1;Сработка 5СС1-ВД1 в Пом. обор. сточ. сист. ;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;505;52;1;ДА;3;ДА;0;Пожарная автоматика;Двери;;
374;BI25_5SS1_DK1_f1;Сработка 5СС1-ДК1 дым в ОВМ меньше или равна 2%;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;505;53;1;ДА;3;ДА;0;Пожарная автоматика;Д2;;
375;BI25_5SS1_DK1_f2;Сработка 5СС1-ДК1 дым в ОВМ больше 4%;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;505;54;1;ДА;3;ДА;0;Пожарная автоматика;Д4;;
376;BI25_5SS1_DT2_T1;Сработка 5СС1-ДТ2 температура в ОВМ 30 гр.Ц.;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;505;55;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
377;BI25_5SS1_DT2_T2;Сработка 5СС1-ДТ2 температура в ОВМ 70 гр.Ц.;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;505;56;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
378;BI25_5SS1_DT2_dT;Сработка 5СС1-ДТ2 изменение температуры в ОВМ 10 гр.Ц. в мин.;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;505;57;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
379;BI25_5SS1_DT3_T1;Сработка 5СС1-ДТ3 температура в ОВМ 30 гр.Ц.;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;505;58;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
380;BI25_5SS1_DT3_T2;Сработка 5СС1-ДТ3 температура в ОВМ 70 гр.Ц.;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;505;59;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
381;BI25_5SS1_DT3_dT;Сработка 5СС1-ДТ3 изменение температуры в ОВМ 10 гр.Ц. в мин.;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;505;60;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
382;BI25_5SS1_DP1;Сработка 5СС1-ДП1 в ОВМ;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;505;61;1;ДА;3;ДА;0;Пожарная автоматика;П;;
383;BI25_5SS1_DP2;Сработка 5СС1-ДП2 в ОВМ;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;505;62;1;ДА;3;ДА;0;Пожарная автоматика;П;;
384;BI25_5SS1_R1;Сработка 5СС1-Р1 в ОВМ;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;505;63;1;ДА;3;ДА;0;Пожарная автоматика;РИ;;
385;BI25_5SS1_DK2_V;Сработка 5СС1-ДК2 объем в ОВМ 20 мг. куб.;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;506;0;1;ДА;3;ДА;0;Пожарная автоматика;О20;;
386;BI25_5SS1_DK2_T;Сработка 5СС1-ДК2 температура в ОВМ 70 гр.Ц.;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;506;1;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
387;BI25_5SS1_DK2_dT;Сработка 5СС1-ДК2 изменение температуры в ОВМ 10 гр.Ц. в мин.;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;506;2;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
388;BI25_5SS1_DK2_f;Сработка 5СС1-ДК2 дым в ОВМ 25%;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;506;3;1;ДА;3;ДА;0;Пожарная автоматика;Д25;;
389;BI25_5SS1_VTE1_T;Сработка 5СС1-ВТЭ1 температура в Шахте газоходов №1 120 гр.Ц.;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;506;4;1;ДА;3;ДА;0;Пожарная автоматика;ПТ120;;
390;BI25_5SS1_VTE2_T;Сработка 5СС1-ВТЭ2 температура в Шахте газоходов №2 120 гр.Ц.;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;506;5;1;ДА;3;ДА;0;Пожарная автоматика;ПТ120;;
391;BI25_5SS1_DK3_T;Сработка 5СС1-ДК3 температура в Помещении БП РХР 70 гр.Ц.;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;506;6;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
392;BI25_5SS1_DK3_dT;Сработка 5СС1-ДК3 изменение температуры в Помещении БП РХР 10 гр.Ц. в мин.;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;506;7;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
393;BI25_5SS1_DK3_f;Сработка 5СС1-ДК3 дым в Помещении БП РХР 15%;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;506;8;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
394;BI25_5SS1_DF4_f;Сработка 5СС1-ДФ4 дым в Тамбуре №12 15%;2025. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;506;9;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
